Zip;Mean;Pop
12862;47.583;27
12864;54.637;47
12865;61.767;3.562
12866;79.881;34.669
12870;51.184;1.678
12871;70.599;3.627
12872;51.013;11
12873;61.224;741
12874;67.411;179
12878;61.832;675
12883;50.078;5.138
12884;60.403;360
12885;54.355;4.710
12886;47.583;389
12887;52.257;5.899
12901;51.225;27.169
12903;52.965;88
12910;49.214;2.464
12911;49.779;35
12912;66.408;2.114
12913;60.213;994
12914;49.139;919
12916;50.280;2.028
12917;52.405;1.334
12918;62.554;2.269
12919;59.523;2.995
12920;53.723;2.670
12921;60.852;2.405
12922;45.454;61
12923;51.852;625
12924;49.779;141
12926;51.118;2.054
12927;45.454;272
12928;62.554;2.115
12929;52.922;4.127
12930;45.564;614
12932;59.969;1.372
12933;51.852;1
12934;51.852;1.028
12935;50.595;1.852
12936;62.895;618
12937;49.133;1.529
12939;59.038;167
12941;73.493;1.286
12942;59.227;611
12943;59.227;450
12944;23.834;1.951
12945;54.153;669
12946;63.867;5.079
12950;62.931;710
12952;53.710;600
12953;54.785;16.245
12955;52.545;390
12956;51.922;1.495
12957;50.681;1.626
12958;48.489;1.806
12959;48.489;1.344
12960;51.922;1.141
12961;51.922;101
12962;66.174;5.499
12964;59.227;188
12965;49.438;465
12966;50.819;2.853
12967;49.435;1.035
12969;58.442;451
12970;58.737;1.237
12972;65.715;5.688
12973;45.454;146
12974;51.922;1.523
12976;59.038;238
12977;61.962;2.197
12978;62.576;416
12979;59.523;2.362
12980;45.855;1.385
12981;62.563;2.369
12983;57.852;6.975
12985;66.233;1.056
12986;56.160;6.326
12987;73.060;152
12989;59.038;1.074
12992;64.433;4.586
12993;59.415;1.719
12996;55.563;1.955
12997;60.329;1.128
12998;51.922;532
1301;54.338;18.444
13020;81.348;132
13021;56.598;40.004
13024;35.097;1.707
13026;64.286;1.874
13027;77.622;29.215
13028;58.632;1.394
13029;72.815;5.704
13030;66.129;3.963
13031;74.708;15.105
13032;58.703;11.983
13033;59.206;3.957
13034;64.871;2.038
13035;90.936;8.013
13036;60.816;8.510
13037;64.986;8.710
13039;79.783;14.777
13040;58.561;2.754
13041;81.202;9.758
13042;59.196;2.383
13044;58.781;2.630
13045;55.390;28.939
13051;106.386;155
13052;56.858;1.677
13053;67.925;4.239
13054;61.232;1.558
13057;63.145;14.986
13060;69.366;2.913
13061;66.073;1.069
13062;90.094;181
13063;91.816;1.887
13064;51.666;106
13066;112.210;12.290
13068;67.332;5.463
13069;53.928;25.186
13071;63.455;1.048
13072;56.156;1.158
13073;69.793;6.322
13074;49.144;4.704
13076;65.285;2.148
13077;65.710;6.786
13078;105.197;8.291
13080;65.991;3.687
13081;63.455;1.101
13082;68.579;4.931
13083;41.268;1.273
13084;73.562;4.338
13087;63.697;145
13088;59.696;21.965
13090;77.124;30.795
13092;64.360;2.553
13101;61.850;2.457
13102;60.680;98
13103;58.677;325
13104;111.193;14.502
13108;74.339;6.133
13110;73.672;2.413
13111;51.816;1.738
13112;78.236;1.951
13113;61.656;322
13114;58.220;6.487
13115;88.824;249
13116;66.750;3.351
13117;59.620;235
13118;64.139;6.646
13120;34.600;1.962
13122;98.671;994
13123;59.594;339
13124;58.419;135
13126;58.351;36.649
13131;56.397;4.001
13132;62.622;4.313
13134;62.184;118
13135;66.008;6.507
13136;58.419;529
13138;106.386;44
13140;55.092;4.652
13141;71.462;680
13142;56.712;6.553
13143;52.667;3.315
13144;18.921;541
13145;58.535;1.857
13146;54.039;2.601
13147;70.972;1.194
13148;57.773;10.808
13152;113.555;8.068
13153;90.450;359
13155;58.419;613
13156;51.760;2.273
13157;59.594;913
13158;59.479;1.937
13159;80.580;5.317
13160;66.564;1.920
13162;61.232;448
13163;61.267;334
13164;79.325;1.492
13165;54.381;10.840
13166;59.112;5.992
13167;56.718;3.399
13202;23.181;5.360
13203;41.040;15.250
13204;32.885;20.508
